Date,MemberPartner,ServiceType,BilledAmount,CollectedAmount,Consumption_MG,AccountsBilled
2024-01-01,Detroit,Water,3585623.99,3553148.6,340.5,3682
2024-01-01,Detroit,Sewer,3958216.37,3745330.13,1380.4,26596
2024-01-01,Dearborn,Water,2148625.1,2067464.42,298.8,43106
2024-01-01,Dearborn,Sewer,1625687.89,1560948.44,592.1,41348
2024-01-01,Livonia,Water,3538795.08,3438173.44,935.7,4691
2024-01-01,Livonia,Sewer,1980492.8,1840399.61,681.7,35158
2024-01-01,Warren,Water,3001647.06,2645816.8,746.1,34125
2024-01-01,Warren,Sewer,1158832.16,1147812.33,1026.3,32129
2024-01-01,Sterling Heights,Water,3204849.39,2980769.59,1153.9,44628
2024-01-01,Sterling Heights,Sewer,1718280.15,1671788.49,899.6,33686
2024-01-01,Troy,Water,2380570.82,2320960.09,970.2,23122
2024-01-01,Troy,Sewer,3695824.74,3605402.94,312.7,31543
2024-01-01,Farmington Hills,Water,1629135.69,1520702.82,993.4,26837
2024-01-01,Farmington Hills,Sewer,1943748.51,1820991.55,622.5,33952
2024-01-01,Southfield,Water,1521207.49,1478234.48,642.4,41069
2024-01-01,Southfield,Sewer,3184024.75,2903101.07,213.2,14521
2024-01-01,Romulus,Water,1091084.07,1050505.11,835.2,17749
2024-01-01,Romulus,Sewer,3148071.75,3004138.24,838.1,3130
2024-01-01,Wayne County,Water,1116381.39,1010865.02,1099.3,22067
2024-01-01,Wayne County,Sewer,3057464.07,2820319.06,919.5,24528
2024-02-01,Detroit,Water,2246712.96,2169836.23,630.0,31736
2024-02-01,Detroit,Sewer,1721115.85,1564341.86,356.9,14621
2024-02-01,Dearborn,Water,1872863.01,1808120.61,1436.1,14133
2024-02-01,Dearborn,Sewer,1451239.31,1400358.19,559.4,40639
2024-02-01,Livonia,Water,4120463.88,3874609.15,567.9,8588
2024-02-01,Livonia,Sewer,3630936.44,3318924.06,669.1,21809
2024-02-01,Warren,Water,848104.45,798427.19,556.6,5573
2024-02-01,Warren,Sewer,2681420.49,2574708.0,364.2,34170
2024-02-01,Sterling Heights,Water,1148798.0,1012562.64,569.6,33373
2024-02-01,Sterling Heights,Sewer,2297593.91,2070595.82,266.8,33308
2024-02-01,Troy,Water,1187896.28,1054275.17,839.3,39815
2024-02-01,Troy,Sewer,2940115.4,2605427.49,394.0,38886
2024-02-01,Farmington Hills,Water,4027027.18,3583231.89,522.6,38573
2024-02-01,Farmington Hills,Sewer,3399107.71,3228222.77,1228.0,16790
2024-02-01,Southfield,Water,3437358.03,3175237.04,1381.1,21487
2024-02-01,Southfield,Sewer,3724566.66,3701673.96,597.0,42699
2024-02-01,Romulus,Water,1004783.03,995149.68,329.0,15617
2024-02-01,Romulus,Sewer,2926751.1,2664614.6,305.5,17719
2024-02-01,Wayne County,Water,1390966.06,1236057.59,203.5,31524
2024-02-01,Wayne County,Sewer,3143861.86,2936492.53,242.4,20881
2024-03-01,Detroit,Water,3203649.82,3078206.33,790.2,17297
2024-03-01,Detroit,Sewer,3941297.55,3825424.28,1012.6,14964
2024-03-01,Dearborn,Water,2245472.48,2116637.76,1041.9,19408
2024-03-01,Dearborn,Sewer,3610545.94,3206930.7,415.7,22159
2024-03-01,Livonia,Water,2823149.73,2751971.45,1397.6,30780
2024-03-01,Livonia,Sewer,1222802.44,1172909.62,1109.7,19841
2024-03-01,Warren,Water,2501605.4,2343470.04,304.6,4612
2024-03-01,Warren,Sewer,3824037.82,3688175.11,984.8,3695
2024-03-01,Sterling Heights,Water,1110511.41,1100094.57,1286.7,39696
2024-03-01,Sterling Heights,Sewer,2796217.97,2467342.83,1194.2,19662
2024-03-01,Troy,Water,2759239.75,2670275.06,427.7,36010
2024-03-01,Troy,Sewer,3015132.26,2970955.66,435.9,40360
2024-03-01,Farmington Hills,Water,2282008.96,2221851.02,1459.8,32802
2024-03-01,Farmington Hills,Sewer,1983067.59,1821111.38,1071.2,12539
2024-03-01,Southfield,Water,1921332.46,1844042.01,574.7,28244
2024-03-01,Southfield,Sewer,3566124.52,3363786.57,791.3,22612
2024-03-01,Romulus,Water,1658156.09,1481282.21,1204.3,35724
2024-03-01,Romulus,Sewer,3604752.49,3172659.36,1330.2,32276
2024-03-01,Wayne County,Water,2205041.74,1988003.87,670.3,34669
2024-03-01,Wayne County,Sewer,2926389.72,2830986.23,464.6,37993
2024-04-01,Detroit,Water,1245444.98,1137244.89,1345.1,33766
2024-04-01,Detroit,Sewer,1212848.68,1203039.02,991.5,17682
2024-04-01,Dearborn,Water,3213261.61,2942500.19,217.8,28738
2024-04-01,Dearborn,Sewer,1116911.28,1110332.19,1386.8,32241
2024-04-01,Livonia,Water,4020006.52,3837042.41,400.2,21127
2024-04-01,Livonia,Sewer,2530164.85,2306103.23,1285.1,32947
2024-04-01,Warren,Water,1628685.08,1536494.15,698.7,41280
2024-04-01,Warren,Sewer,2528019.03,2480296.4,1323.2,20104
2024-04-01,Sterling Heights,Water,3427095.45,3352581.57,641.8,35275
2024-04-01,Sterling Heights,Sewer,1708387.05,1503884.59,1143.9,40465
2024-04-01,Troy,Water,2771739.51,2649486.91,1324.8,31264
2024-04-01,Troy,Sewer,2631173.96,2419862.41,917.5,37614
2024-04-01,Farmington Hills,Water,2082514.18,2056020.45,1330.5,17650
2024-04-01,Farmington Hills,Sewer,2744111.98,2488524.52,1208.2,4860
2024-04-01,Southfield,Water,1881799.51,1758338.91,1387.5,26984
2024-04-01,Southfield,Sewer,2112667.76,2020395.34,1267.0,11968
2024-04-01,Romulus,Water,2484117.41,2196598.84,853.0,40678
2024-04-01,Romulus,Sewer,1928781.99,1719590.02,1298.6,8534
2024-04-01,Wayne County,Water,2588233.7,2413648.87,1139.2,28868
2024-04-01,Wayne County,Sewer,3761172.1,3729371.51,297.3,19368
2024-05-01,Detroit,Water,1951108.2,1872402.5,1044.8,23532
2024-05-01,Detroit,Sewer,3697960.54,3619653.83,694.0,22752
2024-05-01,Dearborn,Water,2931117.21,2878519.63,834.3,37456
2024-05-01,Dearborn,Sewer,922056.94,818665.21,1020.5,20833
2024-05-01,Livonia,Water,4191248.14,4048234.92,764.2,8451
2024-05-01,Livonia,Sewer,3385256.96,3253054.03,330.7,12902
2024-05-01,Warren,Water,3159603.95,3108714.63,259.8,5677
2024-05-01,Warren,Sewer,1797450.44,1659238.59,389.2,36810
2024-05-01,Sterling Heights,Water,2200975.95,2109430.85,434.1,13473
2024-05-01,Sterling Heights,Sewer,1068492.39,1047279.13,1005.6,17783
2024-05-01,Troy,Water,2492068.66,2360146.2,501.8,43805
2024-05-01,Troy,Sewer,1663522.95,1512745.51,212.2,32490
2024-05-01,Farmington Hills,Water,3864112.04,3701530.5,405.4,30949
2024-05-01,Farmington Hills,Sewer,4013801.16,3988032.34,588.9,29807
2024-05-01,Southfield,Water,3147065.94,2934752.66,592.8,27211
2024-05-01,Southfield,Sewer,3701340.56,3302577.1,695.8,25524
2024-05-01,Romulus,Water,2754360.56,2738273.95,583.8,27939
2024-05-01,Romulus,Sewer,1733233.29,1638047.3,1091.5,5214
2024-05-01,Wayne County,Water,3896097.64,3762441.22,1282.7,20756
2024-05-01,Wayne County,Sewer,3437519.33,3115986.2,1242.5,16352
2024-06-01,Detroit,Water,2964500.79,2820433.41,1081.1,10963
2024-06-01,Detroit,Sewer,2936043.55,2888748.08,1040.2,22246
2024-06-01,Dearborn,Water,3481275.65,3076879.95,674.3,10612
2024-06-01,Dearborn,Sewer,1106453.48,1011229.55,1171.7,13510
2024-06-01,Livonia,Water,1482702.3,1438886.92,1339.4,25976
2024-06-01,Livonia,Sewer,2604898.07,2565957.45,1279.6,18840
2024-06-01,Warren,Water,3907766.44,3863146.0,1457.6,21342
2024-06-01,Warren,Sewer,3338301.79,3067739.96,349.7,6934
2024-06-01,Sterling Heights,Water,1278573.85,1267255.31,1318.2,28044
2024-06-01,Sterling Heights,Sewer,4088717.14,3976390.18,675.5,27858
2024-06-01,Troy,Water,847323.43,797929.4,791.2,19181
2024-06-01,Troy,Sewer,2787504.31,2716640.35,1422.4,9100
2024-06-01,Farmington Hills,Water,3094444.29,2890891.25,1005.4,38792
2024-06-01,Farmington Hills,Sewer,1915221.36,1819765.68,1041.9,43641
2024-06-01,Southfield,Water,3601108.19,3545577.58,592.8,28758
2024-06-01,Southfield,Sewer,1196698.18,1059335.04,248.4,34284
2024-06-01,Romulus,Water,1194809.63,1083694.73,898.8,27470
2024-06-01,Romulus,Sewer,2342388.77,2241914.15,1166.1,37402
2024-06-01,Wayne County,Water,2225030.96,2147957.97,400.9,29189
2024-06-01,Wayne County,Sewer,3026734.45,2953713.59,1000.3,20333
2024-07-01,Detroit,Water,911235.38,840715.74,776.4,17473
2024-07-01,Detroit,Sewer,3708530.66,3305879.84,1091.4,37682
2024-07-01,Dearborn,Water,3865767.12,3688541.35,278.7,20080
2024-07-01,Dearborn,Sewer,1445349.11,1292212.01,1302.4,31800
2024-07-01,Livonia,Water,1111689.64,1005403.4,1031.3,3399
2024-07-01,Livonia,Sewer,971966.94,892609.29,1485.5,39000
2024-07-01,Warren,Water,1497698.96,1460899.08,920.5,40429
2024-07-01,Warren,Sewer,1534234.6,1503572.88,627.1,11670
2024-07-01,Sterling Heights,Water,3481388.76,3302229.14,560.5,11482
2024-07-01,Sterling Heights,Sewer,4157592.83,3916971.22,1238.1,9204
2024-07-01,Troy,Water,3047595.98,2690919.72,219.3,17593
2024-07-01,Troy,Sewer,2802099.93,2470933.26,545.0,10307
2024-07-01,Farmington Hills,Water,3321841.39,3124191.28,1169.4,33211
2024-07-01,Farmington Hills,Sewer,2324135.73,2142003.63,971.8,31622
2024-07-01,Southfield,Water,2513051.55,2484711.36,256.4,36173
2024-07-01,Southfield,Sewer,1825543.12,1741539.25,240.5,33390
2024-07-01,Romulus,Water,3680815.05,3419556.19,340.4,31069
2024-07-01,Romulus,Sewer,1049868.43,933638.45,990.8,6304
2024-07-01,Wayne County,Water,1229051.4,1169806.84,961.0,23311
2024-07-01,Wayne County,Sewer,2095074.96,1987597.75,583.4,35131
2024-08-01,Detroit,Water,2858451.09,2548039.09,1112.3,44907
2024-08-01,Detroit,Sewer,3013116.66,2917994.72,1137.1,16091
2024-08-01,Dearborn,Water,2262237.8,2221812.67,738.0,31720
2024-08-01,Dearborn,Sewer,2155682.63,2077874.21,606.3,22481
2024-08-01,Livonia,Water,3061366.73,2825778.08,398.4,33081
2024-08-01,Livonia,Sewer,1028253.25,1003219.16,321.2,8328
2024-08-01,Warren,Water,3331602.5,3074583.99,369.2,5930
2024-08-01,Warren,Sewer,2793981.28,2639145.65,628.5,10010
2024-08-01,Sterling Heights,Water,2196749.35,2153835.52,1423.5,29717
2024-08-01,Sterling Heights,Sewer,3751513.31,3612414.62,1458.9,41348
2024-08-01,Troy,Water,1862326.26,1661034.99,859.6,12140
2024-08-01,Troy,Sewer,3032903.43,2747168.02,340.7,38455
2024-08-01,Farmington Hills,Water,2049707.57,1983501.29,946.3,30122
2024-08-01,Farmington Hills,Sewer,3673527.55,3644406.98,1264.0,42211
2024-08-01,Southfield,Water,3094920.82,2921682.85,991.7,19527
2024-08-01,Southfield,Sewer,898440.82,818862.41,1191.1,24270
2024-08-01,Romulus,Water,1993479.63,1795849.33,386.2,28265
2024-08-01,Romulus,Sewer,1036590.43,1000528.94,1463.4,8013
2024-08-01,Wayne County,Water,3336779.99,3018919.27,745.8,24340
2024-08-01,Wayne County,Sewer,1335191.54,1222819.55,621.7,39197
2024-09-01,Detroit,Water,2827160.83,2775096.83,402.3,42490
2024-09-01,Detroit,Sewer,969192.47,861982.22,776.0,29788
2024-09-01,Dearborn,Water,2451249.8,2281709.31,555.1,35577
2024-09-01,Dearborn,Sewer,1186979.53,1103226.33,568.2,40871
2024-09-01,Livonia,Water,2454551.36,2348318.98,259.0,27903
2024-09-01,Livonia,Sewer,4147115.24,3675587.93,465.8,15843
2024-09-01,Warren,Water,3408988.39,3299486.58,576.3,9863
2024-09-01,Warren,Sewer,826281.68,798110.95,428.4,26917
2024-09-01,Sterling Heights,Water,2610779.98,2366574.75,926.3,25210
2024-09-01,Sterling Heights,Sewer,1045056.69,1023218.04,255.0,3228
2024-09-01,Troy,Water,2363164.45,2100744.96,607.0,30133
2024-09-01,Troy,Sewer,2749558.92,2643954.91,743.0,9548
2024-09-01,Farmington Hills,Water,2177109.84,2157761.79,423.4,42509
2024-09-01,Farmington Hills,Sewer,2364329.47,2268113.45,670.4,30620
2024-09-01,Southfield,Water,3671246.82,3333423.81,965.5,36338
2024-09-01,Southfield,Sewer,1067400.1,1046169.84,1169.5,16520
2024-09-01,Romulus,Water,1932433.32,1737905.43,863.6,9472
2024-09-01,Romulus,Sewer,2604056.39,2349637.28,1209.1,25009
2024-09-01,Wayne County,Water,3273088.96,3188574.82,1259.5,17484
2024-09-01,Wayne County,Sewer,1149535.39,1045429.26,425.5,12018
2024-10-01,Detroit,Water,3384732.0,3233717.23,430.3,43153
2024-10-01,Detroit,Sewer,2479997.89,2397565.91,1187.8,31419
2024-10-01,Dearborn,Water,3115853.83,3058009.68,1035.9,42928
2024-10-01,Dearborn,Sewer,1898908.02,1883074.74,611.0,30820
2024-10-01,Livonia,Water,1032173.28,960802.55,593.7,20001
2024-10-01,Livonia,Sewer,2810827.17,2587291.52,296.4,32260
2024-10-01,Warren,Water,2336507.14,2071412.54,1281.2,7028
2024-10-01,Warren,Sewer,2991866.0,2969119.98,317.4,40933
2024-10-01,Sterling Heights,Water,2524030.58,2355455.22,920.6,4688
2024-10-01,Sterling Heights,Sewer,2329094.59,2266509.09,1047.4,23071
2024-10-01,Troy,Water,2857019.84,2678905.34,1445.0,31525
2024-10-01,Troy,Sewer,1151906.38,1132784.26,646.5,7526
2024-10-01,Farmington Hills,Water,2515466.61,2263528.23,522.1,30688
2024-10-01,Farmington Hills,Sewer,4169352.48,3920308.23,992.7,25848
2024-10-01,Southfield,Water,2067696.74,1886841.02,731.4,24175
2024-10-01,Southfield,Sewer,3108252.25,2753979.98,1020.2,23931
2024-10-01,Romulus,Water,1024100.3,912338.37,1081.9,20621
2024-10-01,Romulus,Sewer,1656785.67,1620220.61,1453.7,41498
2024-10-01,Wayne County,Water,3769150.85,3461349.31,957.6,11268
2024-10-01,Wayne County,Sewer,3916937.95,3586648.62,1052.9,27687
2024-11-01,Detroit,Water,1238435.64,1190775.57,310.1,38629
2024-11-01,Detroit,Sewer,2080709.64,2020454.63,1257.1,36497
2024-11-01,Dearborn,Water,1117740.08,1069791.76,861.0,3194
2024-11-01,Dearborn,Sewer,2032832.07,1831033.31,478.5,33868
2024-11-01,Livonia,Water,1452817.79,1445549.8,401.4,21385
2024-11-01,Livonia,Sewer,3671056.52,3273228.49,1202.1,36506
2024-11-01,Warren,Water,928341.47,852893.21,1196.2,10588
2024-11-01,Warren,Sewer,2830637.9,2541174.23,435.1,42942
2024-11-01,Sterling Heights,Water,3550748.65,3192254.43,769.0,28926
2024-11-01,Sterling Heights,Sewer,2038618.01,1962684.28,1460.5,42015
2024-11-01,Troy,Water,1768754.97,1708761.81,783.6,36996
2024-11-01,Troy,Sewer,1613172.89,1598724.69,1219.7,14715
2024-11-01,Farmington Hills,Water,2050659.26,2027937.89,1479.8,32256
2024-11-01,Farmington Hills,Sewer,3416091.08,3311846.55,853.8,29437
2024-11-01,Southfield,Water,4085311.72,3978858.68,1241.6,11070
2024-11-01,Southfield,Sewer,3768206.53,3338633.54,824.8,26327
2024-11-01,Romulus,Water,2685438.53,2394868.22,1299.7,10170
2024-11-01,Romulus,Sewer,1769214.25,1712172.01,554.6,35643
2024-11-01,Wayne County,Water,1300985.43,1210318.9,1430.3,16551
2024-11-01,Wayne County,Sewer,3576791.07,3511451.77,1409.6,29190
2024-12-01,Detroit,Water,981073.42,919982.78,506.5,7348
2024-12-01,Detroit,Sewer,2074703.09,1832464.01,1410.1,44595
2024-12-01,Dearborn,Water,1939987.21,1739772.13,249.8,32962
2024-12-01,Dearborn,Sewer,3166644.76,2837190.71,1117.2,31399
2024-12-01,Livonia,Water,2892184.07,2846411.24,224.7,16133
2024-12-01,Livonia,Sewer,3638874.54,3431868.02,1145.4,36588
2024-12-01,Warren,Water,2239066.18,2170236.96,508.9,9985
2024-12-01,Warren,Sewer,962348.12,893328.45,1232.1,31957
2024-12-01,Sterling Heights,Water,1013544.31,989441.3,849.8,37130
2024-12-01,Sterling Heights,Sewer,855880.2,803901.06,514.5,11409
2024-12-01,Troy,Water,1790324.76,1575807.87,658.7,39399
2024-12-01,Troy,Sewer,2216329.82,2119703.82,311.3,25632
2024-12-01,Farmington Hills,Water,1030109.7,968814.91,859.5,35267
2024-12-01,Farmington Hills,Sewer,2684116.64,2482545.33,811.2,43659
2024-12-01,Southfield,Water,2115396.49,1952362.41,1171.5,25402
2024-12-01,Southfield,Sewer,3480968.06,3201280.24,1152.8,43173
2024-12-01,Romulus,Water,1152457.15,1091283.44,1183.7,10743
2024-12-01,Romulus,Sewer,950741.34,896350.93,1257.6,13474
2024-12-01,Wayne County,Water,3623304.43,3473801.44,1475.1,33361
2024-12-01,Wayne County,Sewer,2947901.88,2869258.44,282.0,31994
2025-01-01,Detroit,Water,925744.89,836117.01,1228.4,4746
2025-01-01,Detroit,Sewer,1873025.79,1715052.41,717.7,37588
2025-01-01,Dearborn,Water,2409559.21,2130559.7,1041.0,20750
2025-01-01,Dearborn,Sewer,2013712.2,1952891.61,1325.5,23753
2025-01-01,Livonia,Water,1728936.46,1680395.49,768.0,28215
2025-01-01,Livonia,Sewer,3327246.2,3270294.76,702.6,14243
2025-01-01,Warren,Water,2487090.97,2330939.44,1401.6,36031
2025-01-01,Warren,Sewer,1706850.37,1518243.96,751.8,30220
2025-01-01,Sterling Heights,Water,2848341.22,2775905.76,909.1,23050
2025-01-01,Sterling Heights,Sewer,1148832.89,1054296.34,584.3,31223
2025-01-01,Troy,Water,2848913.53,2646650.21,1096.7,25038
2025-01-01,Troy,Sewer,2320240.84,2235746.15,1385.1,42294
2025-01-01,Farmington Hills,Water,4193712.03,3822878.29,1474.0,5759
2025-01-01,Farmington Hills,Sewer,1055139.96,1005879.63,672.3,12484
2025-01-01,Southfield,Water,4039483.95,3621072.74,989.8,30716
2025-01-01,Southfield,Sewer,918316.48,815218.78,1212.1,26007
2025-01-01,Romulus,Water,2031311.98,2009350.89,242.1,12055
2025-01-01,Romulus,Sewer,3108810.99,3074970.67,683.6,7038
