Date,Facility,TreatedMGD,NonRevenueWaterPct,PumpEnergyKWh,ChlorineResidualMGL,TurbidityNTU
2024-01-01,Water Works Park,105.1,11.3,112852,0.56,0.308
2024-01-01,Springwells,109.1,22.6,107913,0.7,0.06
2024-01-01,Lake Huron,59.6,17.6,57331,0.54,0.277
2024-01-01,Northeast,94.9,13.9,115319,0.97,0.052
2024-01-01,Southwest,123.0,20.1,135682,0.51,0.385
2024-01-01,Springwells East,72.4,12.2,71931,0.99,0.261
2024-02-01,Water Works Park,123.2,20.5,146768,1.08,0.182
2024-02-01,Springwells,95.6,21.8,117428,1.0,0.252
2024-02-01,Lake Huron,112.1,11.6,117991,0.6,0.078
2024-02-01,Northeast,61.1,12.3,65687,0.84,0.178
2024-02-01,Southwest,76.0,13.7,81330,1.06,0.277
2024-02-01,Springwells East,101.8,13.2,130111,0.51,0.183
2024-03-01,Water Works Park,158.7,19.3,190539,0.88,0.345
2024-03-01,Springwells,133.1,14.0,128367,0.62,0.144
2024-03-01,Lake Huron,65.3,23.3,87787,0.62,0.279
2024-03-01,Northeast,87.5,22.9,101192,0.59,0.136
2024-03-01,Southwest,107.4,14.4,130283,1.03,0.19
2024-03-01,Springwells East,66.3,24.0,78186,0.46,0.066
2024-04-01,Water Works Park,53.2,19.2,69502,0.7,0.072
2024-04-01,Springwells,85.8,23.9,101939,1.08,0.351
2024-04-01,Lake Huron,41.4,20.4,52030,0.78,0.143
2024-04-01,Northeast,116.9,12.5,133925,0.72,0.384
2024-04-01,Southwest,145.1,14.4,170530,0.53,0.369
2024-04-01,Springwells East,144.5,14.9,178822,0.83,0.103
2024-05-01,Water Works Park,131.5,18.0,171000,0.77,0.05
2024-05-01,Springwells,78.9,11.3,107942,1.02,0.341
2024-05-01,Lake Huron,76.9,11.8,103438,1.06,0.08
2024-05-01,Northeast,98.3,11.9,127030,0.94,0.095
2024-05-01,Southwest,97.0,18.1,103719,1.01,0.198
2024-05-01,Springwells East,65.4,18.0,83611,0.54,0.159
2024-06-01,Water Works Park,188.1,19.4,215777,0.76,0.092
2024-06-01,Springwells,79.0,15.4,95964,0.56,0.127
2024-06-01,Lake Huron,57.3,19.2,60338,1.03,0.351
2024-06-01,Northeast,57.2,14.1,71559,0.55,0.096
2024-06-01,Southwest,179.7,18.4,208937,0.95,0.333
2024-06-01,Springwells East,74.2,12.3,84882,0.7,0.213
2024-07-01,Water Works Park,150.4,19.8,209488,0.47,0.191
2024-07-01,Springwells,95.2,22.2,101092,0.53,0.207
2024-07-01,Lake Huron,106.9,14.6,113571,1.05,0.205
2024-07-01,Northeast,169.2,18.2,164591,1.1,0.343
2024-07-01,Southwest,184.4,23.0,245604,0.52,0.22
2024-07-01,Springwells East,77.5,16.2,75669,0.67,0.395
2024-08-01,Water Works Park,84.8,21.2,97923,0.7,0.385
2024-08-01,Springwells,188.2,18.2,239631,0.51,0.154
2024-08-01,Lake Huron,184.4,18.5,220171,0.92,0.07
2024-08-01,Northeast,129.9,17.5,173250,0.51,0.386
2024-08-01,Southwest,58.5,13.4,71239,0.87,0.132
2024-08-01,Springwells East,64.2,22.6,68103,0.82,0.267
2024-09-01,Water Works Park,90.3,18.6,107028,1.05,0.121
2024-09-01,Springwells,125.9,14.1,142028,0.87,0.155
2024-09-01,Lake Huron,77.9,20.8,76547,0.72,0.399
2024-09-01,Northeast,159.5,12.0,166824,0.59,0.377
2024-09-01,Southwest,145.7,22.4,162643,0.51,0.342
2024-09-01,Springwells East,124.4,19.0,173445,0.86,0.053
2024-10-01,Water Works Park,138.1,14.9,172421,1.06,0.097
2024-10-01,Springwells,53.9,12.4,64623,0.59,0.262
2024-10-01,Lake Huron,126.1,13.6,155784,0.58,0.221
2024-10-01,Northeast,148.6,22.0,147341,0.7,0.147
2024-10-01,Southwest,40.4,21.0,49962,0.58,0.309
2024-10-01,Springwells East,106.2,16.6,101352,0.45,0.359
2024-11-01,Water Works Park,148.5,18.1,196846,0.81,0.102
2024-11-01,Springwells,55.3,15.0,74906,0.96,0.351
2024-11-01,Lake Huron,147.9,13.7,157112,0.47,0.323
2024-11-01,Northeast,146.1,16.3,179600,0.51,0.375
2024-11-01,Southwest,143.8,23.7,189075,1.02,0.059
2024-11-01,Springwells East,128.4,15.3,175762,0.96,0.352
2024-12-01,Water Works Park,123.6,14.5,161213,0.48,0.355
2024-12-01,Springwells,128.7,13.9,169557,0.72,0.157
2024-12-01,Lake Huron,121.9,14.0,117103,0.54,0.165
2024-12-01,Northeast,129.4,23.6,139183,0.85,0.19
2024-12-01,Southwest,142.0,18.0,194917,0.48,0.39
2024-12-01,Springwells East,55.3,23.5,59141,0.48,0.202
2025-01-01,Water Works Park,114.7,15.1,140254,0.76,0.185
2025-01-01,Springwells,98.3,14.3,124738,0.4,0.374
2025-01-01,Lake Huron,94.2,20.4,120941,0.87,0.177
2025-01-01,Northeast,43.6,19.6,47898,0.62,0.347
2025-01-01,Southwest,113.7,14.9,123839,0.69,0.191
2025-01-01,Springwells East,67.9,12.7,77351,1.06,0.287
2025-02-01,Water Works Park,133.5,19.0,144904,0.78,0.05
2025-02-01,Springwells,67.0,16.6,81136,0.86,0.213
2025-02-01,Lake Huron,83.8,13.8,97453,1.03,0.329
2025-02-01,Northeast,54.3,12.1,64180,0.84,0.167
2025-02-01,Southwest,124.4,20.8,155843,0.56,0.12
2025-02-01,Springwells East,38.6,14.2,44923,0.99,0.075
2025-03-01,Water Works Park,89.7,19.2,93063,0.89,0.223
2025-03-01,Springwells,69.3,19.5,66007,0.93,0.32
2025-03-01,Lake Huron,52.8,16.5,54339,1.07,0.231
2025-03-01,Northeast,46.0,14.2,61260,0.72,0.33
2025-03-01,Southwest,120.1,23.8,146276,1.07,0.362
2025-03-01,Springwells East,113.5,20.4,133606,0.98,0.242
2025-04-01,Water Works Park,147.7,20.7,171864,0.58,0.137
2025-04-01,Springwells,116.5,21.0,138004,0.84,0.146
2025-04-01,Lake Huron,49.3,14.7,52862,0.62,0.239
2025-04-01,Northeast,56.6,14.0,71444,0.89,0.072
2025-04-01,Southwest,88.9,18.1,101088,0.54,0.197
2025-04-01,Springwells East,148.6,18.6,187679,1.0,0.318
2025-05-01,Water Works Park,85.6,11.1,94869,0.93,0.349
2025-05-01,Springwells,154.4,16.4,198617,0.78,0.261
2025-05-01,Lake Huron,66.5,13.9,76217,0.42,0.168
2025-05-01,Northeast,121.5,16.3,124448,0.73,0.095
2025-05-01,Southwest,114.7,11.4,129302,0.8,0.059
2025-05-01,Springwells East,117.1,12.8,135574,0.44,0.183
2025-06-01,Water Works Park,77.2,15.2,99785,0.67,0.313
2025-06-01,Springwells,165.0,14.3,162831,0.41,0.239
2025-06-01,Lake Huron,188.8,15.5,234596,0.95,0.278
2025-06-01,Northeast,154.0,23.3,160115,0.41,0.103
2025-06-01,Southwest,65.1,19.7,78366,0.55,0.295
2025-06-01,Springwells East,155.8,13.2,190584,0.92,0.09
